Country,geo_longitude,geo_latitude
Albania,19.9999619,41.000028
Algeria,2.9999825,28.0000272
Andorra,1.5732033,42.5407167
Antigua and Barbuda,-61.8222516,17.079128
Argentina,-65.241974,-35.1124869
Armenia,44.6736646,40.7696272
Azerbaijan,47.8207429,40.1636668
Bahamas,-78.0000547,24.7736546
Bahrain,50.5344606,26.1551249
Barbados,-59.5250305,13.1500331
Belarus,27.6999547,53.4250438
Belize,-88.7600927,16.8259793
Bolivia,-62.7866887,-16.1779043
Bosnia and Herzegovina,18.0075263,44.1264398
Botswana,24.5928742,-23.1681782
Brazil,-51.3333976,-8.4666145
Brunei Darussalam,114.5653908,4.4137155
Bulgaria,25.4856617,42.6073975
Cameroon,13.1535811,4.6125522
Cape Verde,-24.0083947,16.0000552
China,104.999927,35.000074
Colombia,-73.7845072,2.8930783
Costa Rica,-84.0739102,10.2735633
Cote d'Ivoire,-5.5679458,7.9897371
Croatia,17.0118954,45.5643442
Cuba,-80.8328748,23.0131338
Cyprus,33.13832257,35.1758113
Dominica,-61.3653618,15.4113138
Dominican Republic,-70.3012705,19.094175
Ecuador,-79.3666965,-1.3397668
Egypt,29.2675469,26.2540493
El Salvador,-88.9140683,13.8000382
Fiji,179.0122737,-18.1239696
Gabon,11.6899699,-0.8999695
Georgia,44.0287382,41.6809707
Ghana,-1.0800271,8.0300284
Grenada,-61.6904045,12.1360374
Guatemala,-89.8988087,15.6356088
Guyana,-58.6416891,4.8417097
Honduras,-84.5978534,15.0610686
Hong Kong,114.1628131,22.2793278
India,78.6677428,22.3511148
Indonesia,114.5632032,-4.7993356
Iran,52.9471344,32.9407496
Iraq,44.1749775,33.0955793
Jamaica,-77.3947693,18.1850507
Jordan,36.941628,31.1667049
Kazakhstan,65.2093197,47.2286086
Kenya,38.4313975,1.4419683
Kosovo,20.55144,44.1534121
Kuwait,47.4979476,29.2733964
Kyrgyzstan,74.724091,41.5089324
Latvia,24.5999717,56.8666904
Lebanon,35.843409,33.8750629
Libya,18.1236723,26.8234472
Liechtenstein,9.546792471,47.1595036
Lithuania,23.7499998,55.3500003
Macedonia,41.6137143,21.743258
Malaysia,102.2656823,4.5693754
Maldives,73.4867968,4.2218417
Malta,14.504285,35.8953019
Marshall Islands,168,9
Mauritius,57.5703566,-20.2759451
Micronesia,150.1982846,5.5600565
Moldova,28.4165225,46.9161023
Monaco,7.4197441,43.7312454
Mongolia,103.8499736,46.8250388
Montenegro,19.291739,43.0285558
Morocco,-7.3205368,31.2005672
Namibia,17.3231107,-23.2335499
Nauru,166.9333009,-0.5249624
Nicaragua,-84.8700308,12.3724928
Nigeria,7.9999721,9.6000359
North Korea,127.399971,40.3123959
Oman,57.0036901,21.0000287
Pakistan,71.247499,30.3308401
Palau,133.3136306,6.0973669
Panama,-81.3066246,8.3096067
Papua New Guinea,144.2489081,-5.6816069
Paraguay,-58.1693445,-23.3165935
Peru,-75.0458515,-6.8699697
Philippines,122.7312101,12.7503486
Qatar,51.2295295,25.3336984
Romania,24.6859225,45.9852129
Russian Federation,97.7453061,64.6863136
San Marino,12.458306,43.9458623
Saudi Arabia,42.3528328,25.6242618
Serbia,20.55144,44.1534121
Seychelles,55.4540146,-4.6574977
Singapore,103.852038,1.2904527
South Africa,24.991639,-28.8166236
Sri Lanka,80.70435803,7.877
St. Lucia,-60.975036,13.8250489
St.Kitts and Nevis,-62.7687277,17.3462278
St.Vincent and the Grenadines,-61.2765569,12.90447
Suriname,-56.0771187,4.1413025
Swaziland,31.3991317,-26.5624806
Syrian Arab Republic,39.0494106,34.6401861
Tajikistan,71.2083055,38.825034
Thailand,100.83273,14.8971921
Tonga,-174.6044381,-19.1988696
Trinidad and Tobago,-60.9821067,10.8677845
Tunisia,9.400138,33.8439408
Turkmenistan,59.3924609,39.3763807
Ukraine,31.2718321,49.4871968
United Arab Emirates,53.9994829,24.0002488
Uruguay,-56.0201525,-32.8755548
Uzbekistan,63.9528098,41.3234715
Venezuela,-66.1109318,8.0018709
Viet Nam,108.4265113,13.2904027
Zimbabwe,29.7468414,-18.4554963
